23,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
0,23,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
0,1,21,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,21,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0
0,0,1,0,0,0,22,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0
0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
1,0,2,1,0,0,2,0,0,0,16,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1
0,0,0,2,1,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0
0,0,0,1,1,0,1,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,22,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,2,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,25,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,20,0,0,0,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,26,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
0,0,1,3,0,1,1,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,17,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,22,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,23,0,0,1,0,0
0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,19,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,23,1,0,0
0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,20,0,0
0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1
0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,23
